lp_f
----------------
line no, output 1
658, -1.116
659, -1.104
660, -1.092
661, -1.07998
662, -1.068
663, -1.056
664, -1.044
665, -1.032
666, -1.02
667, -1.008
668, -0.995981
669, -0.984003
670, -0.972003
671, -0.960003
672, -0.948003
673, -0.936003
674, -0.924003
675, -0.911992
676, -0.900003
677, -0.887992
678, -0.876003
679, -0.864003
680, -0.851992
681, -0.840004
682, -0.828004
683, -0.816003
684, -0.803992
685, -0.792004
686, -0.780003
687, -0.767991
688, -0.756003
689, -0.744003
690, -0.732003
691, -0.719992
692, -0.708004
693, -0.696004
694, -0.683991
695, -0.672004
696, -0.660004
697, -0.648004
698, -0.635991
699, -0.624003
700, -0.612004
701, -0.599991
702, -0.588004
703, -0.576003
704, -0.564004
705, -0.551991
706, -0.540003
707, -0.528004
708, -0.515997
709, -0.503998
710, -0.492004
711, -0.479997
712, -0.468004
713, -0.455997
714, -0.443997
715, -0.432004
716, -0.419997
717, -0.408004
718, -0.395997
719, -0.384004
720, -0.371997
721, -0.359997
722, -0.348004
723, -0.335997
724, -0.324004
725, -0.311997
726, -0.300001
727, -0.288
728, -0.276001
729, -0.264001
730, -0.252001
731, -0.239997
732, -0.228001
733, -0.216001
734, -0.204
735, -0.192001
736, -0.179998
737, -0.168001
738, -0.156001
739, -0.144
740, -0.132
741, -0.12
742, -0.108
743, -0.0959995
744, -0.0839996
745, -0.0720003
746, -0.0600012
747, -0.047999
748, -0.0360006
749, -0.0240011
750, -0.0120007
751, -7.15256e-07
752, 0.012004
753, 0.0239993
754, 0.0359995
755, 0.0479987
756, 0.0599989
757, 0.0719991
758, 0.0840038
759, 0.095995
760, 0.108004
761, 0.119996
762, 0.132003
763, 0.144004
764, 0.155996
765, 0.168003
766, 0.179995
767, 0.192004
768, 0.203995
769, 0.216004
770, 0.228004
771, 0.239995
772, 0.252004
773, 0.263995
774, 0.276003
775, 0.288004
776, 0.299995
777, 0.311994
778, 0.324013
779, 0.335995
780, 0.347995
781, 0.359995
782, 0.372013
783, 0.383995
784, 0.395995
785, 0.408013
786, 0.419995
787, 0.431995
788, 0.443995
789, 0.456013
790, 0.467995
791, 0.479995
792, 0.492013
793, 0.503994
794, 0.515994
795, 0.527995
796, 0.540013
797, 0.551995
798, 0.563995
799, 0.576014
800, 0.587995
801, 0.599994
802, 0.611994
803, 0.624014
804, 0.635994
805, 0.647994
806, 0.660014
807, 0.671994
808, 0.684015
809, 0.695995
810, 0.707994
811, 0.719994
812, 0.731994
813, 0.743994
814, 0.755994
815, 0.768035
816, 0.779994
817, 0.791994
818, 0.803994
819, 0.815994
820, 0.827993
821, 0.839994
822, 0.852035
823, 0.863994
824, 0.875994
825, 0.887994
826, 0.899995
827, 0.911994
828, 0.923994
829, 0.936037
830, 0.947993
831, 0.959994
832, 0.971994
833, 0.983994
834, 0.995994
835, 1.00799
836, 1.02004
837, 1.03199
838, 1.04399
839, 1.05599
840, 1.06799
841, 1.07999
842, 1.09199
843, 1.10404
844, 1.11599
845, 1.12799
846, 1.13999
847, 1.15199
848, 1.16399
849, 1.17599
850, 1.18804
851, 1.19999
852, 1.21199
853, 1.22399
854, 1.23599
855, 1.24799
856, 1.25999
857, 1.27204
858, 1.28399
859, 1.29599
860, 1.30799
861, 1.31999
862, 1.33199
863, 1.34399
864, 1.35604
865, 1.36799
866, 1.37999
867, 1.39199
868, 1.40399
869, 1.41599
870, 1.42799
871, 1.44004
872, 1.45199
873, 1.46399
874, 1.47599
875, 1.48804
876, 1.49994
877, 1.51204
878, 1.52395
879, 1.53604
880, 1.54794
881, 1.56004
882, 1.57204
883, 1.58394
884, 1.59604
885, 1.60794
886, 1.62004
887, 1.63194
888, 1.64404
889, 1.65604
890, 1.66794
891, 1.68004
892, 1.69194
893, 1.70404
894, 1.71594
895, 1.72804
896, 1.74004
897, 1.75194
898, 1.76404
899, 1.77594
900, 1.78804
901, 1.79994
902, 1.81204
903, 1.82404
904, 1.83594
905, 1.84804
906, 1.85994
907, 1.87204
908, 1.88394
909, 1.89605
910, 1.90804
911, 1.91994
912, 1.93204
913, 1.94394
914, 1.95605
915, 1.96794
916, 1.98005
917, 1.99205
918, 2.00394
919, 2.01605
920, 2.02794
921, 2.04005
922, 2.05194
923, 2.06405
924, 2.07605
925, 2.08794
926, 2.10005
927, 2.11194
928, 2.12405
929, 2.13594
930, 2.14805
931, 2.16005
932, 2.17194
933, 2.18405
934, 2.19594
935, 2.20805
936, 2.21994
937, 2.23205
938, 2.24405
939, 2.25594
940, 2.26805
941, 2.27994
942, 2.29205
943, 2.30394
944, 2.31605
945, 2.32805
946, 2.33994
947, 2.35205
948, 2.36393
949, 2.37605
950, 2.38793
951, 2.40005
952, 2.41205
953, 2.42393
954, 2.43605
955, 2.44793
956, 2.46005
957, 2.47193
958, 2.48405
959, 2.49605
960, 2.50793
961, 2.52005
962, 2.53193
963, 2.54405
964, 2.55593
965, 2.56805
966, 2.58005
967, 2.59193
968, 2.60405
969, 2.61593
970, 2.62805
971, 2.63993
972, 2.65205
973, 2.66405
974, 2.67593
975, 2.68805
976, 2.69993
977, 2.71205
978, 2.72393
979, 2.73605
980, 2.74805
981, 2.75993
982, 2.77205
983, 2.78393
984, 2.79605
985, 2.80793
986, 2.82005
987, 2.83205
988, 2.84393
989, 2.85605
990, 2.86793
991, 2.88005
992, 2.89193
993, 2.90405
994, 2.91605
995, 2.92793
996, 2.94005
997, 2.95193
998, 2.96405
999, 2.97593
1000, 2.98805
1001, 2.98805
1002, 2.98805
1003, 2.97593
1004, 2.96406
1005, 2.95193
1006, 2.94005
1007, 2.92793
1008, 2.91605
1009, 2.90405
1010, 2.89193
1011, 2.88005
1012, 2.86793
1013, 2.85605
1014, 2.84393
1015, 2.83205
1016, 2.82005
1017, 2.80793
1018, 2.79605
1019, 2.78393
1020, 2.77205
1021, 2.75993
1022, 2.74805
1023, 2.73605
1024, 2.72393
1025, 2.71205
1026, 2.69993
1027, 2.68805
1028, 2.67593
1029, 2.66405
1030, 2.65205
1031, 2.63993
1032, 2.62805
1033, 2.61593
1034, 2.60405
1035, 2.59193
1036, 2.58005
1037, 2.56805
1038, 2.55593
1039, 2.54405
1040, 2.53193
1041, 2.52005
1042, 2.50793
1043, 2.49605
1044, 2.48405
1045, 2.47193
1046, 2.46005
1047, 2.44793
1048, 2.43605
1049, 2.42393
1050, 2.41205
1051, 2.40005
1052, 2.38793
1053, 2.37605
1054, 2.36393
1055, 2.35205
1056, 2.33994
1057, 2.32805
1058, 2.31605
1059, 2.30394
1060, 2.29205
1061, 2.27994
1062, 2.26805
1063, 2.25594
1064, 2.24405
1065, 2.23205
1066, 2.21994
1067, 2.20805
1068, 2.19594
1069, 2.18405
1070, 2.17194
1071, 2.16005
1072, 2.14805
1073, 2.13594
1074, 2.12405
1075, 2.11194
1076, 2.10005
1077, 2.08794
1078, 2.07605
1079, 2.06405
1080, 2.05194
1081, 2.04005
1082, 2.02794
1083, 2.01605
1084, 2.00394
1085, 1.99205
1086, 1.98005
1087, 1.96794
1088, 1.95605
1089, 1.94394
1090, 1.93205
1091, 1.91994
1092, 1.90804
1093, 1.89605
1094, 1.88394
1095, 1.87204
1096, 1.85994
1097, 1.84804
1098, 1.83594
1099, 1.82404
1100, 1.81204
1101, 1.79994
1102, 1.78804
1103, 1.77594
1104, 1.76404
1105, 1.75194
1106, 1.74004
1107, 1.72804
1108, 1.71594
1109, 1.70404
1110, 1.69194
1111, 1.68004
1112, 1.66794
1113, 1.65604
1114, 1.64404
1115, 1.63194
1116, 1.62004
1117, 1.60794
1118, 1.59604
1119, 1.58394
1120, 1.57204
1121, 1.56004
1122, 1.54794
1123, 1.53604
1124, 1.52395
1125, 1.51204
1126, 1.49995
1127, 1.48804
1128, 1.47604
1129, 1.46395
1130, 1.45204
1131, 1.43995
1132, 1.42804
1133, 1.41595
1134, 1.40404
1135, 1.39204
1136, 1.37995
1137, 1.36804
1138, 1.35595
1139, 1.34404
1140, 1.33195
1141, 1.32004
1142, 1.30804
1143, 1.29595
1144, 1.28404
1145, 1.27195
1146, 1.26004
1147, 1.24795
1148, 1.23604
1149, 1.22404
1150, 1.21195
1151, 1.20004
1152, 1.18795
1153, 1.17604
1154, 1.16395
1155, 1.15204
1156, 1.14004
1157, 1.12795
1158, 1.11604
1159, 1.10395
1160, 1.09204
1161, 1.07995
1162, 1.06804
1163, 1.05604
1164, 1.04395
1165, 1.03204
1166, 1.01995
1167, 1.00804
1168, 0.995951
1169, 0.984036
1170, 0.972037
1171, 0.959952
1172, 0.948036
1173, 0.935952
1174, 0.924036
1175, 0.911952
1176, 0.900036
1177, 0.888036
1178, 0.875953
1179, 0.864036
1180, 0.851954
1181, 0.840035
1182, 0.827954
1183, 0.816035
1184, 0.804035
1185, 0.791954
1186, 0.780035
1187, 0.767954
1188, 0.756035
1189, 0.743955
1190, 0.732035
1191, 0.720034
1192, 0.707955
1193, 0.696034
1194, 0.683955
1195, 0.672034
1196, 0.659956
1197, 0.648033
1198, 0.636034
1199, 0.623957
1200, 0.612033
1201, 0.599956
1202, 0.588033
1203, 0.575956
1204, 0.564033
1205, 0.552033
1206, 0.539956
1207, 0.528033
1208, 0.515958
1209, 0.504032
1210, 0.491958
1211, 0.480031
1212, 0.468032
1213, 0.455958
1214, 0.444032
1215, 0.431958
1216, 0.420031
1217, 0.407959
1218, 0.396031
1219, 0.384031
1220, 0.371958
1221, 0.360031
1222, 0.347959
1223, 0.336031
1224, 0.32396
1225, 0.312031
1226, 0.300031
1227, 0.28796
1228, 0.27603
1229, 0.26396
1230, 0.252029
1231, 0.23996
1232, 0.22803
1233, 0.21603
1234, 0.203961
1235, 0.19203
1236, 0.179962
1237, 0.168029
1238, 0.155962
1239, 0.144028
1240, 0.132028
1241, 0.119962
1242, 0.108029
1243, 0.0959622
1244, 0.0840279
1245, 0.0719632
1246, 0.060028
1247, 0.0480281
1248, 0.0359626
1249, 0.0240274
1250, 0.0119625
1251, 2.75376e-05
1252, -0.0120365
1253, -0.0239731
1254, -0.0359723
1255, -0.0480356
1256, -0.059973
1257, -0.0720359
1258, -0.0839736
1259, -0.096035
1260, -0.107973
1261, -0.119974
1262, -0.132035
1263, -0.143973
1264, -0.156004
1265, -0.168004
1266, -0.180005
