lp_e
----------------
line no, output 1
1202, -0.598
1203, -0.596
1204, -0.594
1205, -0.592
1206, -0.59
1207, -0.588
1208, -0.586
1209, -0.584
1210, -0.582
1211, -0.58
1212, -0.578
1213, -0.576
1214, -0.574
1215, -0.572
1216, -0.57
1217, -0.568
1218, -0.566
1219, -0.564
1220, -0.562
1221, -0.56
1222, -0.558
1223, -0.556
1224, -0.554
1225, -0.552
1226, -0.55
1227, -0.548
1228, -0.546
1229, -0.544
1230, -0.542
1231, -0.54
1232, -0.538
1233, -0.536
1234, -0.534
1235, -0.532
1236, -0.53
1237, -0.528
1238, -0.526
1239, -0.524
1240, -0.522
1241, -0.52
1242, -0.518
1243, -0.516
1244, -0.514
1245, -0.512
1246, -0.51
1247, -0.508
1248, -0.506
1249, -0.504
1250, -0.502
1251, -0.5
1252, -0.498
1253, -0.496
1254, -0.494
1255, -0.492
1256, -0.49
1257, -0.488
1258, -0.486
1259, -0.484
1260, -0.482
1261, -0.48
1262, -0.478
1263, -0.476
1264, -0.474
1265, -0.472
1266, -0.47
1267, -0.468
1268, -0.466
1269, -0.464
1270, -0.462
1271, -0.46
1272, -0.458
1273, -0.456
1274, -0.454
1275, -0.452
1276, -0.45
1277, -0.448
1278, -0.446
1279, -0.444
1280, -0.442
1281, -0.44
1282, -0.438
1283, -0.436
1284, -0.434
1285, -0.432
1286, -0.43
1287, -0.428
1288, -0.426
1289, -0.424
1290, -0.422
1291, -0.42
1292, -0.418
1293, -0.416
1294, -0.414
1295, -0.412
1296, -0.41
1297, -0.408
1298, -0.406
1299, -0.404
1300, -0.402
1301, -0.4
1302, -0.398
1303, -0.396
1304, -0.394
1305, -0.392
1306, -0.39
1307, -0.388
1308, -0.386
1309, -0.384
1310, -0.382
1311, -0.38
1312, -0.378
1313, -0.376
1314, -0.374
1315, -0.372
1316, -0.37
1317, -0.368
1318, -0.366
1319, -0.364
1320, -0.362
1321, -0.36
1322, -0.358
1323, -0.356
1324, -0.354
1325, -0.352
1326, -0.35
1327, -0.348
1328, -0.346
1329, -0.344
1330, -0.342
1331, -0.34
1332, -0.338
1333, -0.336
1334, -0.334
1335, -0.332
1336, -0.33
1337, -0.328
1338, -0.326
1339, -0.324
1340, -0.322
1341, -0.32
1342, -0.318
1343, -0.316
1344, -0.314
1345, -0.312
1346, -0.31
1347, -0.308
1348, -0.306
1349, -0.304
1350, -0.302
1351, -0.3
1352, -0.298
1353, -0.296
1354, -0.294
1355, -0.292
1356, -0.29
1357, -0.288
1358, -0.286
1359, -0.284
1360, -0.282
1361, -0.28
1362, -0.278
1363, -0.276
1364, -0.274
1365, -0.272
1366, -0.27
1367, -0.268
1368, -0.266
1369, -0.264
1370, -0.262
1371, -0.26
1372, -0.258
1373, -0.256
1374, -0.254
1375, -0.252
1376, -0.25
1377, -0.248
1378, -0.246
1379, -0.244
1380, -0.242
1381, -0.24
1382, -0.238
1383, -0.236
1384, -0.234
1385, -0.232
1386, -0.23
1387, -0.228
1388, -0.226
1389, -0.224
1390, -0.222
1391, -0.22
1392, -0.218
1393, -0.216
1394, -0.214
1395, -0.212
1396, -0.21
1397, -0.208
1398, -0.206
1399, -0.204
1400, -0.202
1401, -0.2
1402, -0.198
1403, -0.196
1404, -0.194
1405, -0.192
1406, -0.19
1407, -0.188
1408, -0.186
1409, -0.184
1410, -0.182
1411, -0.18
1412, -0.178
1413, -0.176
1414, -0.174
1415, -0.172
1416, -0.17
1417, -0.168
1418, -0.166
1419, -0.164
1420, -0.162
1421, -0.16
1422, -0.158
1423, -0.156
1424, -0.154
1425, -0.152
1426, -0.15
1427, -0.148
1428, -0.146
1429, -0.144
1430, -0.142
1431, -0.14
1432, -0.138
1433, -0.136
1434, -0.134
1435, -0.132
1436, -0.13
1437, -0.128
1438, -0.126
1439, -0.124
1440, -0.122
1441, -0.12
1442, -0.118
1443, -0.116
1444, -0.114
1445, -0.112
1446, -0.11
1447, -0.108
1448, -0.106
1449, -0.104
1450, -0.102
1451, -0.1
1452, -0.098
1453, -0.096
1454, -0.094
1455, -0.092
1456, -0.09
1457, -0.088
1458, -0.086
1459, -0.084
1460, -0.082
1461, -0.08
1462, -0.078
1463, -0.076
1464, -0.074
1465, -0.072
1466, -0.07
1467, -0.068
1468, -0.066
1469, -0.064
1470, -0.062
1471, -0.06
1472, -0.058
1473, -0.056
1474, -0.054
1475, -0.052
1476, -0.05
1477, -0.048
1478, -0.046
1479, -0.044
1480, -0.042
1481, -0.04
1482, -0.038
1483, -0.036
1484, -0.034
1485, -0.032
1486, -0.03
1487, -0.028
1488, -0.026
1489, -0.024
1490, -0.022
1491, -0.02
